ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
ULPP,medium_airport,Peski Airfield,61.831944,34.295555,154,RU,Petrozavodsk,ULPP,
ULWC,medium_airport,Cherepovets Airport,59.273601532,38.015800476100004,377,RU,Cherepovets,ULWC,CEE
ULWK,small_airport,Kichmengskiy Gorodok Airport,59.975717,45.828918,343,RU,Kichmengskiy Gorodok,ULWK,
ULWU,medium_airport,Velikiy Ustyug Airport,60.7883,46.259998,331,RU,Velikiy Ustyug,ULWU,VUS
ULWW,medium_airport,Vologda Airport,59.282501,39.944401,387,RU,Vologda,ULWW,VGD
UMBB,large_airport,Brest International Airport,52.108138,23.89676,468,BY,Brest,UMBB,BQT
UMGG,medium_airport,Gomel Airport,52.527000427246094,31.016700744628906,472,BY,Gomel,UMGG,GME
UMII,medium_airport,Vitebsk Vostochny Airport,55.126499176025,30.349599838257,682,BY,Vitebsk,UMII,VTB
UMKK,large_airport,Khrabrovo Airport,54.89161,20.598559,42,RU,Kaliningrad,UMKK,KGD
UMLI,small_airport,Minsk Machulishchy Air Base,53.77344,27.577411,699,BY,Minsk,UMLI,
UMMG,medium_airport,Hrodna Airport,53.602001,24.053801,443,BY,Hrodna,UMMG,GNA
UMMS,large_airport,Minsk National Airport,53.888071,28.039964,670,BY,Minsk,UMMS,MSQ
UMOO,medium_airport,Mogilev Airport,53.954898834228516,30.09510040283203,637,BY,Mogilev,UMOO,MVQ
UNAA,large_airport,Abakan International Airport,53.740002,91.385002,831,RU,Abakan,UNAA,ABA
UNAU,small_airport,Shushenskoye Airport,53.385176,92.044718,885,RU,Kazantsevo,UNAU,
UNBB,large_airport,Barnaul Gherman Titov International Airport,53.361285,83.539701,837,RU,Barnaul,UNBB,BAX
UNBG,medium_airport,Gorno-Altaysk Airport,51.969204,85.836539,965,RU,Gorno-Altaysk,UNBG,RGK
UNEE,large_airport,Alexei Leonov Kemerovo International Airport,55.2701,86.107201,863,RU,Kemerovo,UNEE,KEJ
UNII,medium_airport,Yeniseysk Airport,58.474201,92.112503,253,RU,Yeniseysk,UNII,EIE
UNIP,medium_airport,Podkamennaya Tunguska Airport,61.589699,89.994003,213,RU,Bor,UNIP,TGP
UNIS,medium_airport,Severo-Yeniseysk Airport,60.373299,93.011703,1706,RU,Severo-Yeniseysk,UNIS,VEO
UNIT,small_airport,Tura Mountain Airport,64.333511,100.432892,2044,RU,Tura,UNIT,GOY
UNIW,medium_airport,Vanavara Airport,60.356229,102.309641,892,RU,Vanavara,UNIW,VAQ
UNKL,large_airport,Krasnoyarsk International Airport,56.175743,92.485788,942,RU,Krasnoyarsk,UNKL,KJA
UNKM,medium_airport,Krasnoyarsk Cheremshanka Airport,56.177584,92.545881,833,RU,Krasnoyarsk,UNKM,KCY
UNKS,medium_airport,Achinsk Airport,56.269185,90.57511,1033,RU,Achinsk,UNKS,ACS
UNKY,medium_airport,Kyzyl Airport,51.669399,94.400597,2123,RU,Kyzyl,UNKY,KYZ
UNNT,large_airport,Novosibirsk Tolmachevo Airport,55.019756,82.618675,365,RU,Novosibirsk,UNNT,OVB
UNOO,large_airport,Omsk Central Airport,54.963124,73.312418,311,RU,Omsk,UNOO,OMS
UNSS,medium_airport,Strezhevoy Airport,60.7094,77.660004,164,RU,Strezhevoy,UNSS,SWT
UNTT,large_airport,Tomsk Kamov Airport,56.380299,85.208298,597,RU,Tomsk,UNTT,TOF
UNWW,medium_airport,Spichenkovo Airport,53.811401,86.877197,1024,RU,Novokuznetsk,UNWW,NOZ
UODD,medium_airport,Dikson Airport,73.517807,80.379669,47,RU,Dikson,UODD,DKS
UODN,medium_airport,Nagurskoye Airfield,80.803207,47.663586,59,RU,Alexandra Land,UODN,
UODS,small_airport,Sredniy Island Air Base,79.52958,91.07495,26,RU,Khatanga,UODS,
UOHH,medium_airport,Khatanga Airport,71.97810363769531,102.49099731445312,95,RU,Khatanga,UOHH,HTG
UOII,medium_airport,Igarka Airport,67.437202,86.621902,82,RU,Igarka,UOII,IAA
UOOO,large_airport,Alykel International Airport,69.307951,87.325906,574,RU,Norilsk,UOOO,NSK
UOTT,small_airport,Turukhansk Airport,65.797203,87.935303,128,RU,Turukhansk,UOTT,THX
URKA,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,174,RU,Krasnyi Kurgan,URKA,AAQ
URKG,medium_airport,Gelendzhik Airport,44.5820926295,38.0124807358,98,RU,Gelendzhik,URKG,GDZ
URKK,large_airport,Krasnodar Pashkovsky International Airport,45.034465,39.174215,118,RU,Krasnodar,URKK,KRR
URMG,large_airport,Akhmat Kadyrov Grozny International Airport,43.388106,45.699772,548,RU,Grozny,URMG,GRV
URML,large_airport,Makhachkala Uytash International Airport,42.816799,47.652302,12,RU,Makhachkala,URML,MCX
URMM,large_airport,Mineralnye Vody Airport,44.225101,43.081902,1054,RU,Mineralnyye Vody,URMM,MRV
URMN,medium_airport,Nalchik Airport,43.512901,43.6366,1461,RU,Nalchik,URMN,NAL
URMO,medium_airport,Vladikavkaz Beslan International Airport,43.205101,44.606602,1673,RU,Beslan,URMO,OGZ
URMS,medium_airport,Magas Airport,43.323268,45.012568,1165,RU,Sunzha,URMS,IGT
URMT,medium_airport,Stavropol Shpakovskoye Airport,45.10919952392578,42.11280059814453,1486,RU,Stavropol,URMT,STW
URRP,large_airport,Platov International Airport,47.493888,39.924722,213,RU,Rostov-on-Don,URRP,ROV
URRT,medium_airport,Taganrog Yuzhny Airport,47.1983333,38.8491667,117,RU,Taganrog,URRT,TGK
URSS,large_airport,Sochi International Airport,43.449902,39.9566,89,RU,Sochi,URSS,AER
URWA,large_airport,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.282843,48.010511,-65,RU,Astrakhan,URWA,ASF
URWI,medium_airport,Elista Airport,46.373901,44.330898,501,RU,Elista,URWI,ESL
URWW,large_airport,Volgograd International Airport,48.78134,44.339194,482,RU,Volgograd,URWW,VOG
US-12783,small_airport,Big Pine Sands STOLGround,24.723717,-81.387856,,US,"Big Pine Key, Florida",KBPD,XFT
USCC,large_airport,Kurchatov Chelyabinsk International Airport,55.303141,61.504927,769,RU,Chelyabinsk,USCC,CEK
USCM,large_airport,Magnitogorsk International Airport,53.391991,58.755235,1430,RU,Magnitogorsk,USCM,MQF
USDA,medium_airport,Sabetta International Airport,71.219167,72.052222,46,RU,Sabetta,USDA,SBT
USDB,medium_airport,Bovanenkovo Airport,70.315278,68.333611,24,RU,Bovanenkovo,USDB,BVJ
